what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032092789
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032096679
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032104988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032121397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032123633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032125204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032125234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032125240
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032132859
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032134734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032138964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032138992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032138997
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032140346
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032140547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032142305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032143071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032145005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032145047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032145053
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032217625
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032250643
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032267535
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032272537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032281518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032281686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032281691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032283105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032291750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032291778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032291784
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032292892
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032319503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032326284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032329455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032331349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032331374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032331379
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032332719
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1350032369973
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1350032369991
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1350032370164
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1350032370166
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1350032370168
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1350032370187
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1350032370223
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032374852
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032380677
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032384319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032402739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032402770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032402775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032409553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032410285
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032413551
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032419987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032427924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032454171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032455102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032459223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032461145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032461170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032461174
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032512777
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032518476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032523543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032523573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032523578
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1350032604289
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032660569
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1350032671041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032737129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350032737155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350032737159
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1350032757113
